Model,Embedding,Classifier,Accuracy,Precision,Recall,F1
DS_content_modelsize100epoch8,Content only,Nearest Neighbors,0.932642487046632,0.9710144927536232,0.9370629370629372,0.9537366548042706
DS_content_modelsize100epoch8,Content only,SVM RBF,0.932642487046632,0.9642857142857144,0.944055944055944,0.9540636042402828
DS_content_modelsize100epoch8,Content only,Decision Tree,0.8652849740932642,0.927007299270073,0.8881118881118881,0.907142857142857
DS_content_modelsize100epoch8,Content only,Gaussian Naive Bayes,0.8963730569948186,0.9019607843137256,0.965034965034965,0.9324324324324323
DS_content_modelsize100epoch8,Content only,Random Forest,0.8652849740932642,0.927007299270073,0.8881118881118881,0.907142857142857
DS_content_modelsize100epoch8,Content only,Ensemble,0.922279792746114,0.9507042253521126,0.944055944055944,0.9473684210526316
DS_content_tags_modelsize100epoch8,Content and tags,Nearest Neighbors,0.9481865284974094,0.9784172661870504,0.951048951048951,0.9645390070921986
DS_content_tags_modelsize100epoch8,Content and tags,SVM RBF,0.9430051813471504,0.9647887323943662,0.958041958041958,0.9614035087719298
DS_content_tags_modelsize100epoch8,Content and tags,Decision Tree,0.8808290155440415,0.9054054054054054,0.9370629370629372,0.9209621993127148
DS_content_tags_modelsize100epoch8,Content and tags,Gaussian Naive Bayes,0.8963730569948186,0.9019607843137256,0.965034965034965,0.9324324324324323
DS_content_tags_modelsize100epoch8,Content and tags,Random Forest,0.8808290155440415,0.9054054054054054,0.9370629370629372,0.9209621993127148
DS_content_tags_modelsize100epoch8,Content and tags,Ensemble,0.917098445595855,0.9379310344827586,0.951048951048951,0.9444444444444444
DS_content_modelsize100epoch9,Content only,Nearest Neighbors,0.932642487046632,0.9710144927536232,0.9370629370629372,0.9537366548042706
DS_content_modelsize100epoch9,Content only,SVM RBF,0.932642487046632,0.9642857142857144,0.944055944055944,0.9540636042402828
DS_content_modelsize100epoch9,Content only,Decision Tree,0.8756476683937824,0.9047619047619048,0.93006993006993,0.9172413793103448
DS_content_modelsize100epoch9,Content only,Gaussian Naive Bayes,0.8808290155440415,0.8846153846153846,0.965034965034965,0.923076923076923
DS_content_modelsize100epoch9,Content only,Random Forest,0.8756476683937824,0.9047619047619048,0.93006993006993,0.9172413793103448
DS_content_modelsize100epoch9,Content only,Ensemble,0.932642487046632,0.9577464788732394,0.951048951048951,0.9543859649122808
DS_tags_modelsize100epoch9,Tags only,Nearest Neighbors,0.927461139896373,0.9215686274509804,0.986013986013986,0.9527027027027026
DS_tags_modelsize100epoch9,Tags only,SVM RBF,0.917098445595855,0.89937106918239,1.0,0.9470198675496688
DS_tags_modelsize100epoch9,Tags only,Decision Tree,0.8911917098445595,0.9236111111111112,0.93006993006993,0.926829268292683
DS_tags_modelsize100epoch9,Tags only,Gaussian Naive Bayes,0.917098445595855,0.9096774193548388,0.986013986013986,0.9463087248322148
DS_tags_modelsize100epoch9,Tags only,Random Forest,0.8911917098445595,0.9236111111111112,0.93006993006993,0.926829268292683
DS_tags_modelsize100epoch9,Tags only,Ensemble,0.927461139896373,0.9215686274509804,0.986013986013986,0.9527027027027026
DS_content_tags_modelsize100epoch9,Content and tags,Nearest Neighbors,0.9378238341968912,0.9645390070921984,0.951048951048951,0.9577464788732396
DS_content_tags_modelsize100epoch9,Content and tags,SVM RBF,0.9378238341968912,0.958041958041958,0.958041958041958,0.958041958041958
DS_content_tags_modelsize100epoch9,Content and tags,Decision Tree,0.8756476683937824,0.9103448275862068,0.9230769230769232,0.9166666666666669
DS_content_tags_modelsize100epoch9,Content and tags,Gaussian Naive Bayes,0.9067357512953368,0.913907284768212,0.965034965034965,0.9387755102040816
DS_content_tags_modelsize100epoch9,Content and tags,Random Forest,0.8756476683937824,0.9103448275862068,0.9230769230769232,0.9166666666666669
DS_content_tags_modelsize100epoch9,Content and tags,Ensemble,0.9378238341968912,0.9517241379310344,0.965034965034965,0.9583333333333331
DS_content_modelsize100epoch10,Content only,Nearest Neighbors,0.8911917098445595,0.9121621621621622,0.944055944055944,0.9278350515463918
DS_content_modelsize100epoch10,Content only,SVM RBF,0.927461139896373,0.9574468085106383,0.944055944055944,0.9507042253521129
DS_content_modelsize100epoch10,Content only,Decision Tree,0.844559585492228,0.8741721854304636,0.9230769230769232,0.8979591836734694
DS_content_modelsize100epoch10,Content only,Gaussian Naive Bayes,0.8808290155440415,0.8846153846153846,0.965034965034965,0.923076923076923
DS_content_modelsize100epoch10,Content only,Random Forest,0.844559585492228,0.8741721854304636,0.9230769230769232,0.8979591836734694
DS_content_modelsize100epoch10,Content only,Ensemble,0.8963730569948186,0.9183673469387756,0.944055944055944,0.9310344827586208
DS_tags_modelsize100epoch10,Tags only,Nearest Neighbors,0.917098445595855,0.9044585987261148,0.993006993006993,0.9466666666666668
DS_tags_modelsize100epoch10,Tags only,SVM RBF,0.911917098445596,0.89375,1.0,0.943894389438944
DS_tags_modelsize100epoch10,Tags only,Decision Tree,0.9067357512953368,0.9032258064516128,0.9790209790209792,0.9395973154362416
DS_tags_modelsize100epoch10,Tags only,Gaussian Naive Bayes,0.922279792746114,0.9050632911392406,1.0,0.9501661129568107
