App,Model,Embedding,Classifier,Accuracy,Precision,Recall,F1_0,F1_1
claroline,DS_content_modelsize100epoch31,Content only,Ensemble,0.998030388294879,1.0,0.997638326585695,0.9941027801179444,0.9988177672690424
claroline,DS_content_modelsize100epoch31,Content only,Neural Network,0.9977490151941476,1.0,0.9973009446693656,0.9932659932659932,0.9986486486486488
claroline,DS_tags_modelsize100epoch31,Tags only,Dummy,0.7318514350028137,0.8328368090036412,0.8488529014844804,0.151380231522707,0.8407685881370092
claroline,DS_tags_modelsize100epoch31,Tags only,Threshold,0.627956447857008,1.0,0.627956447857008,0.7714659058399634,0.7714659058399634
claroline,DS_tags_modelsize100epoch31,Tags only,Nearest Neighbors,0.9425998874507596,0.9640215198386012,0.9672739541160594,0.8256410256410257,0.9656449983159312
claroline,DS_tags_modelsize100epoch31,Tags only,SVM RBF,0.9532920652785594,0.9857638888888888,0.9578272604588394,0.8686708860759492,0.9715947980835044
claroline,DS_tags_modelsize100epoch31,Tags only,Decision Tree,0.9290939786156444,0.9496021220159152,0.9662618083670717,0.776595744680851,0.9578595317725752
claroline,DS_tags_modelsize100epoch31,Tags only,Gaussian Naive Bayes,0.937816544738323,0.998183799491464,0.9271255060728744,0.8411214953271029,0.961343361903096
claroline,DS_tags_modelsize100epoch31,Tags only,Random Forest,0.929375351716376,0.9499170812603648,0.9662618083670717,0.7776793622674933,0.9580197357417628
claroline,DS_tags_modelsize100epoch31,Tags only,Ensemble,0.9454136184580754,0.9736662106703148,0.9605263157894736,0.840983606557377,0.9670516304347826
claroline,DS_tags_modelsize100epoch31,Tags only,Neural Network,0.94625773776027,0.956836902800659,0.979757085020243,0.8277727682596933,0.9681613602267044
claroline,DS_content_tags_modelsize100epoch31,Content and tags,Dummy,0.7388857625211029,0.8379814077025233,0.8515519568151148,0.1802120141342756,0.8447121820615796
claroline,DS_content_tags_modelsize100epoch31,Content and tags,Threshold,0.5300648247215054,1.0,0.5300648247215054,0.6928658396130178,0.6928658396130178
claroline,DS_content_tags_modelsize100epoch31,Content and tags,Nearest Neighbors,0.9983117613956106,0.9986513823331086,0.9993252361673416,0.99490662139219,0.9989881956155144
claroline,DS_content_tags_modelsize100epoch31,Content and tags,SVM RBF,0.9983117613956106,0.99932478055368,0.9986504723346828,0.9949238578680204,0.9989875126560918
claroline,DS_content_tags_modelsize100epoch31,Content and tags,Decision Tree,0.9969048958919527,0.9973054900639946,0.998987854251012,0.9906382978723404,0.9981459632563626
claroline,DS_content_tags_modelsize100epoch31,Content and tags,Gaussian Naive Bayes,0.9983117613956106,0.9986513823331086,0.9993252361673416,0.99490662139219,0.9989881956155144
claroline,DS_content_tags_modelsize100epoch31,Content and tags,Random Forest,0.9969048958919527,0.9973054900639946,0.998987854251012,0.9906382978723404,0.9981459632563626
claroline,DS_content_tags_modelsize100epoch31,Content and tags,Ensemble,0.998030388294879,0.9986509274873524,0.998987854251012,0.9940627650551314,0.998819362455726
claroline,DS_content_tags_modelsize100epoch31,Content and tags,Neural Network,0.9983117613956106,0.9996621621621622,0.9983130904183536,0.9949324324324323,0.99898717083052
dimeshift,DS_content_modelsize100epoch31,Content only,Dummy,0.8589853826311264,0.923005132991134,0.9238673517048108,0.108695652173913,0.9234360410831
dimeshift,DS_content_modelsize100epoch31,Content only,Threshold,0.4982648423168153,1.0,0.4982648423168153,0.6651225180540609,0.6651225180540609
dimeshift,DS_content_modelsize100epoch31,Content only,Nearest Neighbors,0.9320722269991402,0.9448183041722744,0.9836524988323212,0.4397163120567376,0.9638443935926772
dimeshift,DS_content_modelsize100epoch31,Content only,SVM RBF,0.9204643164230438,0.9204643164230438,1.0,0.0,0.9585851802104322
dimeshift,DS_content_modelsize100epoch31,Content only,Decision Tree,0.8946689595872743,0.9429906542056076,0.942550210182158,0.3396226415094339,0.9427703807521608
dimeshift,DS_content_modelsize100epoch31,Content only,Gaussian Naive Bayes,0.9204643164230438,0.9204643164230438,1.0,0.0,0.9585851802104322
dimeshift,DS_content_modelsize100epoch31,Content only,Random Forest,0.8946689595872743,0.9425770308123248,0.9430172816440916,0.3360433604336043,0.942797104833061
dimeshift,DS_content_modelsize100epoch31,Content only,Ensemble,0.9312123817712812,0.9412026726057906,0.9869219990658572,0.3984962406015038,0.9635202918376654
dimeshift,DS_content_modelsize100epoch31,Content only,Neural Network,0.9204643164230438,0.9204643164230438,1.0,0.0,0.9585851802104322
dimeshift,DS_tags_modelsize100epoch31,Tags only,Dummy,0.8619948409286329,0.924044734389562,0.9262027090144792,0.1205479452054794,0.9251224632610218
dimeshift,DS_tags_modelsize100epoch31,Tags only,Threshold,0.5591180491452742,1.0,0.5591180491452742,0.7172234962603234,0.7172234962603234
dimeshift,DS_tags_modelsize100epoch31,Tags only,Nearest Neighbors,0.9200343938091144,0.9498389323515876,0.964035497431107,0.4497041420118343,0.956884561891516
